sample,gbstrim_removed,total_reads,no_pair,total_removed,total_remaining,ratio_removed
Sample_IDSW114_F03_S4,3363062,10467582,1196906,4559968,5907614,43.5627635876175
Sample_IDSW115_G03_S5,5403954,14863464,1958750,7362704,7500760,49.5355860518113
Sample_IDSW116_H03_S6,2616834,9221738,1052818,3669652,5552086,39.7934966272085
Sample_IDSW118_A04_S7,2430222,8574416,1086914,3517136,5057280,41.0189568595692
Sample_IDSW126_G08_S8,3943527,11085480,1477595,5421122,5664358,48.9029072263898
Sample_IDSW127_H08_S9,2727216,8636370,1024314,3751530,4884840,43.4387364135626
Sample_IDSW129_A09_S10,3692739,12758154,1509295,5202034,7556120,40.7741903726824
Sample_IDSW130_B09_S11,8072697,20439604,2260947,10333644,10105960,50.5569677377311
Sample_IDSW140_H04_S13,5868572,16820006,1911106,7779678,9040328,46.2525280906559
Sample_IDSW145_C05_S17,4656452,14558728,1842576,6499028,8059700,44.6400811939065
Sample_IDSW145_D11_S18,7623526,20339968,2568182,10191708,10148260,50.106804494481
Sample_IDSW146_D05_S19,4577862,13894910,1734990,6312852,7582058,45.4328383559159
Sample_IDSW147_E10_S20,9090675,25942108,3023521,12114196,13827912,46.6970378814243
Sample_IDSW150_F05_S22,2999645,9442962,1108549,4108194,5334768,43.5053535109005
Sample_IDSW156_G05_S23,8567527,26203240,3035745,11603272,14599968,44.2818216373242
Sample_IDSW157_H05_S24,1886658,6368280,742238,2628896,3739384,41.2810994491448
Sample_IDSW158_B06_S25,7373713,20283786,2398241,9771954,10511832,48.1761836769526
Sample_IDSW159_C09_S26,11831261,39542200,4810171,16641432,22900768,42.0852456363075
Sample_IDSW161_C06_S27,3823632,14061982,1859494,5683126,8378856,40.4148291471288
Sample_IDSW162_D06_S28,4608182,14247648,1838664,6446846,7800802,45.2484929442389
Sample_IDSW163_E06_S29,8776339,27771240,3277097,12053436,15717804,43.4025848323661
Sample_IDSW164_F06_S30,6031276,16465660,1946166,7977442,8488218,48.4489659084422
Sample_IDSW165_G06_S31,4418321,15414192,2053243,6471564,8942628,41.9844517312357
Sample_IDSW166_H06_S32,5421170,18214160,2079382,7500552,10713608,41.1797853977345
Sample_IDSW183_A07_S33,4211641,13572218,1770241,5981882,7590336,44.0744615213225
Sample_IDSW184_F10_S34,9436098,24201942,3003054,12439152,11762790,51.3973300159136
Sample_IDSW186_G10_S35,9111537,23754500,3143037,12254574,11499926,51.5884316655792
Sample_IDSW187_F04_S36,4171724,11490278,1379602,5551326,5938952,48.3132435960209
Sample_IDSW190_H10_S37,8289223,21839102,2514715,10803938,11035164,49.4706146800358
