file,counts
Sample_IDB_A06_S1_R1_001.fastq.gz,757824
Sample_IDB_A06_S1_R2_001.fastq.gz,757824
Sample_IDB_D10_S2_R1_001.fastq.gz,321125
Sample_IDB_D10_S2_R2_001.fastq.gz,321125
Sample_IDB_H02_S3_R1_001.fastq.gz,245221
Sample_IDB_H02_S3_R2_001.fastq.gz,245221
Sample_IDSW114_F03_S4_R1_001.fastq.gz,5233791
Sample_IDSW114_F03_S4_R2_001.fastq.gz,5233791
Sample_IDSW115_G03_S5_R1_001.fastq.gz,7431732
Sample_IDSW115_G03_S5_R2_001.fastq.gz,7431732
Sample_IDSW116_H03_S6_R1_001.fastq.gz,4610869
Sample_IDSW116_H03_S6_R2_001.fastq.gz,4610869
Sample_IDSW118_A04_S7_R1_001.fastq.gz,4287208
Sample_IDSW118_A04_S7_R2_001.fastq.gz,4287208
Sample_IDSW126_G08_S8_R1_001.fastq.gz,5542740
Sample_IDSW126_G08_S8_R2_001.fastq.gz,5542740
Sample_IDSW127_H08_S9_R1_001.fastq.gz,4318185
Sample_IDSW127_H08_S9_R2_001.fastq.gz,4318185
Sample_IDSW129_A09_S10_R1_001.fastq.gz,6379077
Sample_IDSW129_A09_S10_R2_001.fastq.gz,6379077
Sample_IDSW130_B09_S11_R1_001.fastq.gz,10219802
Sample_IDSW130_B09_S11_R2_001.fastq.gz,10219802
Sample_IDSW137_G04_S12_R1_001.fastq.gz,44793
Sample_IDSW137_G04_S12_R2_001.fastq.gz,44793
Sample_IDSW140_H04_S13_R1_001.fastq.gz,8410003
Sample_IDSW140_H04_S13_R2_001.fastq.gz,8410003
Sample_IDSW141_C10_S14_R1_001.fastq.gz,719212
Sample_IDSW141_C10_S14_R2_001.fastq.gz,719212
Sample_IDSW142_A05_S15_R1_001.fastq.gz,168361
Sample_IDSW142_A05_S15_R2_001.fastq.gz,168361
Sample_IDSW143_B05_S16_R1_001.fastq.gz,27413
Sample_IDSW143_B05_S16_R2_001.fastq.gz,27413
Sample_IDSW145_C05_S17_R1_001.fastq.gz,7279364
Sample_IDSW145_C05_S17_R2_001.fastq.gz,7279364
Sample_IDSW145_D11_S18_R1_001.fastq.gz,10169984
Sample_IDSW145_D11_S18_R2_001.fastq.gz,10169984
Sample_IDSW146_D05_S19_R1_001.fastq.gz,6947455
Sample_IDSW146_D05_S19_R2_001.fastq.gz,6947455
Sample_IDSW147_E10_S20_R1_001.fastq.gz,12971054
Sample_IDSW147_E10_S20_R2_001.fastq.gz,12971054
Sample_IDSW148_E05_S21_R1_001.fastq.gz,13573
Sample_IDSW148_E05_S21_R2_001.fastq.gz,13573
Sample_IDSW150_F05_S22_R1_001.fastq.gz,4721481
Sample_IDSW150_F05_S22_R2_001.fastq.gz,4721481
Sample_IDSW156_G05_S23_R1_001.fastq.gz,13101620
Sample_IDSW156_G05_S23_R2_001.fastq.gz,13101620
Sample_IDSW157_H05_S24_R1_001.fastq.gz,3184140
Sample_IDSW157_H05_S24_R2_001.fastq.gz,3184140
Sample_IDSW158_B06_S25_R1_001.fastq.gz,10141893
Sample_IDSW158_B06_S25_R2_001.fastq.gz,10141893
Sample_IDSW159_C09_S26_R1_001.fastq.gz,19771100
Sample_IDSW159_C09_S26_R2_001.fastq.gz,19771100
Sample_IDSW161_C06_S27_R1_001.fastq.gz,7030991
Sample_IDSW161_C06_S27_R2_001.fastq.gz,7030991
Sample_IDSW162_D06_S28_R1_001.fastq.gz,7123824
Sample_IDSW162_D06_S28_R2_001.fastq.gz,7123824
Sample_IDSW163_E06_S29_R1_001.fastq.gz,13885620
Sample_IDSW163_E06_S29_R2_001.fastq.gz,13885620
Sample_IDSW164_F06_S30_R1_001.fastq.gz,8232830
Sample_IDSW164_F06_S30_R2_001.fastq.gz,8232830
Sample_IDSW165_G06_S31_R1_001.fastq.gz,7707096
Sample_IDSW165_G06_S31_R2_001.fastq.gz,7707096
Sample_IDSW166_H06_S32_R1_001.fastq.gz,9107080
Sample_IDSW166_H06_S32_R2_001.fastq.gz,9107080
Sample_IDSW183_A07_S33_R1_001.fastq.gz,6786109
Sample_IDSW183_A07_S33_R2_001.fastq.gz,6786109
Sample_IDSW184_F10_S34_R1_001.fastq.gz,12100971
Sample_IDSW184_F10_S34_R2_001.fastq.gz,12100971
Sample_IDSW186_G10_S35_R1_001.fastq.gz,11877250
Sample_IDSW186_G10_S35_R2_001.fastq.gz,11877250
Sample_IDSW187_F04_S36_R1_001.fastq.gz,5745139
Sample_IDSW187_F04_S36_R2_001.fastq.gz,5745139
Sample_IDSW190_H10_S37_R1_001.fastq.gz,10919551
Sample_IDSW190_H10_S37_R2_001.fastq.gz,10919551
Sample_IDSW191_B07_S38_R1_001.fastq.gz,8036002
Sample_IDSW191_B07_S38_R2_001.fastq.gz,8036002
Sample_IDSW192_F07_S39_R1_001.fastq.gz,7072216
Sample_IDSW192_F07_S39_R2_001.fastq.gz,7072216
Sample_IDSW193_C07_S40_R1_001.fastq.gz,3214008
Sample_IDSW193_C07_S40_R2_001.fastq.gz,3214008
Sample_IDSW194_D07_S41_R1_001.fastq.gz,8614779
Sample_IDSW194_D07_S41_R2_001.fastq.gz,8614779
Sample_IDSW196_E07_S42_R1_001.fastq.gz,6011759
Sample_IDSW196_E07_S42_R2_001.fastq.gz,6011759
Sample_IDSW198_G07_S43_R1_001.fastq.gz,8609186
Sample_IDSW198_G07_S43_R2_001.fastq.gz,8609186
Sample_IDSW199_A11_S44_R1_001.fastq.gz,5306658
Sample_IDSW199_A11_S44_R2_001.fastq.gz,5306658
Sample_IDSW199_H07_S45_R1_001.fastq.gz,5079624
Sample_IDSW199_H07_S45_R2_001.fastq.gz,5079624
Sample_IDSW200_B11_S46_R1_001.fastq.gz,11633111
Sample_IDSW200_B11_S46_R2_001.fastq.gz,11633111
Sample_IDSW201_C11_S47_R1_001.fastq.gz,7277734
Sample_IDSW201_C11_S47_R2_001.fastq.gz,7277734
Sample_IDSW220_A08_S48_R1_001.fastq.gz,7210655
Sample_IDSW220_A08_S48_R2_001.fastq.gz,7210655
Sample_IDSW224_B08_S49_R1_001.fastq.gz,3221599
Sample_IDSW224_B08_S49_R2_001.fastq.gz,3221599
Sample_IDSW231_C08_S50_R1_001.fastq.gz,7116505
Sample_IDSW231_C08_S50_R2_001.fastq.gz,7116505
Sample_IDSW232_F08_S51_R1_001.fastq.gz,5650491
Sample_IDSW232_F08_S51_R2_001.fastq.gz,5650491
Sample_IDSW234_E08_S52_R1_001.fastq.gz,4324413
Sample_IDSW234_E08_S52_R2_001.fastq.gz,4324413
Sample_IDSW235_D08_S53_R1_001.fastq.gz,8347417
Sample_IDSW235_D08_S53_R2_001.fastq.gz,8347417
Sample_IDSW36_D09_S54_R1_001.fastq.gz,22552776
Sample_IDSW36_D09_S54_R2_001.fastq.gz,22552776
Sample_IDSW37_E09_S55_R1_001.fastq.gz,21832844
Sample_IDSW37_E09_S55_R2_001.fastq.gz,21832844
Sample_IDSW38_A01_S56_R1_001.fastq.gz,11976993
Sample_IDSW38_A01_S56_R2_001.fastq.gz,11976993
Sample_IDSW38_F09_S57_R1_001.fastq.gz,17712558
Sample_IDSW38_F09_S57_R2_001.fastq.gz,17712558
Sample_IDSW39_C01_S58_R1_001.fastq.gz,20254413
Sample_IDSW39_C01_S58_R2_001.fastq.gz,20254413
Sample_IDSW40_B01_S59_R1_001.fastq.gz,15564276
Sample_IDSW40_B01_S59_R2_001.fastq.gz,15564276
Sample_IDSW45_D01_S60_R1_001.fastq.gz,8302206
Sample_IDSW45_D01_S60_R2_001.fastq.gz,8302206
Sample_IDSW46_E01_S61_R1_001.fastq.gz,16356553
Sample_IDSW46_E01_S61_R2_001.fastq.gz,16356553
Sample_IDSW47_F01_S62_R1_001.fastq.gz,10510273
Sample_IDSW47_F01_S62_R2_001.fastq.gz,10510273
Sample_IDSW48_G01_S63_R1_001.fastq.gz,13479768
Sample_IDSW48_G01_S63_R2_001.fastq.gz,13479768
Sample_IDSW50_H01_S64_R1_001.fastq.gz,11542479
Sample_IDSW50_H01_S64_R2_001.fastq.gz,11542479
Sample_IDSW51_A02_S65_R1_001.fastq.gz,12858333
Sample_IDSW51_A02_S65_R2_001.fastq.gz,12858333
Sample_IDSW53_G02_S66_R1_001.fastq.gz,22921669
Sample_IDSW53_G02_S66_R2_001.fastq.gz,22921669
Sample_IDSW55_B02_S67_R1_001.fastq.gz,18559536
Sample_IDSW55_B02_S67_R2_001.fastq.gz,18559536
Sample_IDSW56_C02_S68_R1_001.fastq.gz,17182214
Sample_IDSW56_C02_S68_R2_001.fastq.gz,17182214
Sample_IDSW57_D02_S69_R1_001.fastq.gz,20186244
Sample_IDSW57_D02_S69_R2_001.fastq.gz,20186244
Sample_IDSW58_E02_S70_R1_001.fastq.gz,23705690
Sample_IDSW58_E02_S70_R2_001.fastq.gz,23705690
Sample_IDSW59_F02_S71_R1_001.fastq.gz,8944776
Sample_IDSW59_F02_S71_R2_001.fastq.gz,8944776
Sample_IDSW61_A03_S72_R1_001.fastq.gz,17684646
Sample_IDSW61_A03_S72_R2_001.fastq.gz,17684646
Sample_IDSW62_B03_S73_R1_001.fastq.gz,23464066
Sample_IDSW62_B03_S73_R2_001.fastq.gz,23464066
Sample_IDSW67_C03_S74_R1_001.fastq.gz,5954839
Sample_IDSW67_C03_S74_R2_001.fastq.gz,5954839
Sample_IDSW70_D03_S75_R1_001.fastq.gz,8305988
Sample_IDSW70_D03_S75_R2_001.fastq.gz,8305988
Sample_IDSW70_G09_S76_R1_001.fastq.gz,11220772
Sample_IDSW70_G09_S76_R2_001.fastq.gz,11220772
Sample_IDSW71_H09_S77_R1_001.fastq.gz,12368750
Sample_IDSW71_H09_S77_R2_001.fastq.gz,12368750
Sample_IDSW72_A10_S78_R1_001.fastq.gz,6136306
Sample_IDSW72_A10_S78_R2_001.fastq.gz,6136306
Sample_IDSW74_B10_S79_R1_001.fastq.gz,6472179
Sample_IDSW74_B10_S79_R2_001.fastq.gz,6472179
Sample_IDSW74_E03_S80_R1_001.fastq.gz,7654485
Sample_IDSW74_E03_S80_R2_001.fastq.gz,7654485
Sample_IDSW81_B04_S81_R1_001.fastq.gz,4627605
Sample_IDSW81_B04_S81_R2_001.fastq.gz,4627605
Sample_IDSW82_C04_S82_R1_001.fastq.gz,5538531
Sample_IDSW82_C04_S82_R2_001.fastq.gz,5538531
Sample_IDSW84_D04_S83_R1_001.fastq.gz,13537797
Sample_IDSW84_D04_S83_R2_001.fastq.gz,13537797
Sample_IDSW85_E04_S84_R1_001.fastq.gz,7831538
Sample_IDSW85_E04_S84_R2_001.fastq.gz,7831538
